,cc_number,company_reg_number,cc_start_date,cc_billing_enddate,cc_agreed_limit,cc_balance_limit_ratio,cc_missed_payments,missed_payments_number
707,158384600849,20000707,2014-12-15 13:48:09.345360,01-18,30921.68760888893,20.256,NA,0
707,858434036314,20000707,2012-11-09 13:48:09.345360,12-14,30921.68760888893,21.784,NA,0
707,156497216184,20000707,2011-05-01 13:48:09.345360,06-12,23191.265706666698,17.439,10,10
817,663270282405,20000817,2017-12-11 13:48:09.564507,01-20,8303.637079375972,8.0,3,3
419,502471524674,20000419,2016-04-19 13:48:10.372319,05-29,10177.017599999914,11.482,NA,0
241,281101614829,20000241,2015-04-17 13:48:11.487610,05-25,60175.80647426457,21.019,NA,0
241,373094202227,20000241,2013-09-18 13:48:12.670353,10-17,45131.85485569843,18.26,8,8
118,999054584500,20000118,2019-12-30 13:48:12.740480,02-03,13565.210218198445,11.166,NA,0
118,657072131353,20000118,2020-03-17 13:48:12.817858,04-21,13565.210218198445,8.955,NA,0
196,371016881727,20000196,2018-08-30 13:48:13.599192,10-08,17429.865975415232,10.45,NA,0
813,180665640502,20000813,2016-12-20 13:48:14.816201,01-28,37856.62436515436,7.984,NA,0
294,605342347208,20000294,2015-12-01 13:48:15.394532,01-11,11492.481487323437,10.512,NA,0
811,151896780211,20000811,2015-09-11 13:48:15.394532,10-14,20056.462052743045,20.173,NA,1
746,202314873945,20000746,2021-01-26 13:48:15.470301,03-07,12196.449242251196,7.413,-7,0
746,908194622644,20000746,2021-05-06 13:48:15.557353,06-15,9147.336931688396,11.374,NA,0
746,900224669504,20000746,2019-12-19 13:48:15.633218,01-18,9147.336931688396,9.607,NA,0
751,568492519197,20000751,2014-12-27 13:48:15.633218,02-01,40075.33197852753,22.676,NA,1
751,309580286028,20000751,2014-09-16 13:48:15.633218,10-26,30056.49898389565,17.734,NA,0
788,339127370662,20000788,2013-06-11 13:48:15.633218,07-12,75719.92114978458,25.404,8,8
343,651315892795,20000343,2010-09-22 13:48:15.633218,11-04,27558.044806989954,21.448,NA,0
649,629598809081,20000649,2020-09-30 13:48:16.596347,11-12,19488.797700395702,8.428,NA,1
239,577599936036,20000239,2019-06-29 13:48:16.725969,08-07,22921.712886728128,10.399,NA,0
763,259385256851,20000763,2021-01-22 13:48:16.821302,02-25,24220.040497411992,11.842,NA,0
448,536365362184,20000448,2019-05-21 13:48:16.962424,06-19,21796.655210556408,10.113,NA,0
448,749955698701,20000448,2020-01-08 13:48:17.085422,02-13,16347.491407917307,7.415,-3,1
50,644841411645,20000050,2012-09-20 13:48:17.085422,10-23,15203.934915267706,20.275,NA,1
13,482945680592,20000013,2020-01-11 13:48:17.294600,02-14,29667.78527507183,10.828,-2,0
997,665812087096,20000997,2013-03-29 13:48:17.294600,05-09,3831.3289325777437,18.181,7,7
997,964021313766,20000997,2012-06-26 13:48:17.294600,07-26,5108.438576770324,22.155,NA,0
997,124481018744,20000997,2013-03-06 13:48:17.294600,04-05,5108.438576770324,18.099,NA,0
16,519026227869,20000016,2019-12-04 13:48:17.359829,01-15,9051.91521614361,7.096,NA,1
16,884657934662,20000016,2020-09-15 13:48:17.419857,10-20,9051.91521614361,8.121,NA,1
16,785440827455,20000016,2020-04-21 13:48:17.481857,05-27,6788.936412107708,8.108,NA,0
934,883149683442,20000934,2013-09-14 13:48:17.481857,10-24,957.386593177778,19.899,7,7
934,870888632744,20000934,2009-01-27 13:48:17.481857,03-07,718.0399448833335,20.696,NA,1
934,647295130177,20000934,2011-12-03 13:48:17.481857,01-13,957.386593177778,21.167,NA,0
516,979004665850,20000516,2017-05-27 13:48:17.920407,07-08,10830.474333088905,8.958,NA,1
516,493438097025,20000516,2016-08-31 13:48:18.371273,10-12,8122.855749816678,10.134,NA,1
516,598456047633,20000516,2020-05-15 13:48:18.785158,06-18,10830.474333088905,11.255,-3,0
516,987393086044,20000516,2019-12-22 13:48:19.197213,01-20,10830.474333088905,11.628,-2,1
534,899011583765,20000534,2014-01-07 13:48:19.197213,02-20,8894.235618972678,22.731,NA,1
534,728939685596,20000534,2013-03-31 13:48:19.197213,04-29,8894.235618972678,18.086,NA,1
534,881988170180,20000534,2012-08-30 13:48:19.197213,10-09,11858.980825296903,21.351,NA,0
534,205698351646,20000534,2012-12-16 13:48:19.197213,01-15,11858.980825296903,17.465,NA,1
654,542483439300,20000654,2012-08-14 13:48:20.680177,09-13,99792.9022607539,26.567,NA,1
999,399265459171,20000999,2017-10-20 13:48:21.086504,12-02,86468.90786734228,12.71,7,7
999,282528524832,20000999,2021-01-14 13:48:21.500298,02-25,64851.680900506704,12.722,-4,0
361,225697785740,20000361,2014-03-16 13:48:21.500298,04-22,87290.4207752087,22.83,NA,0
992,882642940233,20000992,2021-02-27 13:48:22.376628,04-11,70735.76508186596,12.885,NA,1
956,710137052505,20000956,2017-10-27 13:48:23.865826,12-06,25131.121436864276,7.693,NA,0
956,791774553385,20000956,2016-07-04 13:48:25.404700,08-10,33508.16191581904,7.521,NA,1
956,375762439258,20000956,2011-11-16 13:48:27.005713,12-29,33508.16191581904,20.619,NA,1
956,794101918536,20000956,2016-02-17 13:48:28.567321,03-29,33508.16191581904,10.979,9,9
952,943888542702,20000952,2018-04-17 13:48:28.788286,05-24,76373.12722295798,13.011,NA,1
122,983389962699,20000122,2009-06-14 13:48:28.788286,07-18,33814.65609012317,17.444,NA,0
122,456945594997,20000122,2015-09-08 13:48:28.788286,10-16,33814.65609012317,17.346,NA,0
122,830761393804,20000122,2011-03-05 13:48:28.788286,04-16,45086.20812016423,17.649,NA,0
122,727916140620,20000122,2015-10-31 13:48:28.788286,11-30,45086.20812016423,19.898,NA,1
518,406927968987,20000518,2012-11-19 13:48:30.072451,12-29,20006.985110639805,22.848,NA,0
518,893111848870,20000518,2017-06-03 13:48:31.326212,07-09,20006.985110639805,10.325,NA,0
518,714247497874,20000518,2015-04-10 13:48:32.686338,05-19,20006.985110639805,17.708,NA,0
518,660304320781,20000518,2016-07-07 13:48:33.995978,08-14,20006.985110639805,10.007,NA,1
